ID;Name;DateJoined;City;Street;Email;Country
0;Tea Room Platzli;2019-06-01T00:40:03.145780;San Francisco;Halyburton Ct;tea_room_platzli@inbox.com;US
1;Nippon Yusen Kaisha  S.S.Kinshin Maru;2019-06-01T00:51:41.496931;San Francisco;Murray Ln - Golden Gate National Recreation Area;nippon_yusen_kaisha__sskinshin_maru@yahoo.com;US
2;Pirates House;2019-06-02T00:41:43.960763;San Francisco;Moulton St;pirates_house@gmail.com;US
3;Appledore House;2019-06-02T03:36:05.438883;New York;W 4th St;appledore_house@gmail.com;US
4;The Washington Hotel;2019-06-02T08:42:21.311597;New York;W 79st Transverse Rd;the_washington_hotel@gmail.com;US
5;Commodore;2019-06-03T12:33:02.690525;New York;E 80th St;commodore@hotmail.com;US
6;Hope High School;2019-06-03T19:21:03.076547;San Francisco;Anza Ave - Golden Gate National Recreation Area;hope_high_school@yahoo.com;US
7;Order Of United Americans;2019-06-03T21:26:12.265782;San Francisco;Tuscany Alley;order_of_united_americans@hotmail.com;US
8;Union Club;2019-06-05T22:01:18.373454;New York;W 122nd St;union_club@mail.com;US
9;5th Mass. Battery E.;2019-06-06T14:48:55.331035;San Francisco;Anderson St;5th_mass_battery_e@mail.com;US
10;National Republican Club;2019-06-07T05:44:34.346966;San Francisco;Sheridan St;national_republican_club@inbox.com;US
11;Anheuser-Busch Cafe Restaurant;2019-06-08T07:37:48.710525;San Francisco;Elgin Park;anheuser-busch_cafe_restaurant@hotmail.com;US
12;Bookbinders Sea Food House;2019-06-08T07:54:32.047806;San Francisco;Leland Ave;bookbinders_sea_food_house@yahoo.com;US
13;Voisin;2019-06-09T08:01:32.277767;New York;Liberty St;voisin@outlook.com;US
14;St. Anns Church;2019-06-09T13:35:46.128478;San Francisco;Paramount Terrace;st_anns_church@yahoo.com;US
15;R.I. Alpha Of Phi Delta Theta;2019-06-09T16:49:01.759748;San Francisco;Cumberland St;ri_alpha_of_phi_delta_theta@mail.com;US
